id,url,image_name,link
BOT00451A,https://img.faballey.com/Images/Product/BOT00451A/1.jpg,Navy High Rise Leggings,https://www.faballey.com/navy-high-rise-leggings-117/prdt
BOT00448A,https://img.faballey.com/Images/Product/BOT00448A/1.jpg,Navy White Panel Leggings,https://www.faballey.com/navy-white-panel-leggings-117/prdt
BOT00456A,https://img.faballey.com/Images/Product/BOT00456A/1.jpg,Charcoal Front Zip Leggings,https://www.faballey.com/charcoal-front-zip-leggings-117/prdt
BOT00453A,https://img.faballey.com/Images/Product/BOT00453A/1.jpg,Dark Grey Buttoned Side Leggings,https://www.faballey.com/dark-grey-buttoned-side-leggings-117/prdt
BOT00457A,https://img.faballey.com/Images/Product/BOT00457A/1.jpg,Navy Buttoned Side Leggings,https://www.faballey.com/navy-buttoned-side-leggings-117/prdt
BOT00471Z,https://img.faballey.com/Images/Product/BOT00471Z/1.jpg,Mustard Striped Wide Legged Pants,https://www.faballey.com/mustard-striped-wide-legged-pants-79/prdt
BOT00468Z,https://img.faballey.com/Images/Product/BOT00468Z/1.jpg,Navy Rust Stripe Wide Legged Pants,https://www.faballey.com/navy-rust-stripe-wide-legged-pants-79/prdt
BOT00431Z,https://img.faballey.com/Images/Product/BOT00431Z/1.jpg,Yellow Striped Wide Legged Pants,https://www.faballey.com/yellow-striped-wide-legged-pants-79/prdt
BOT00441A,https://img.faballey.com/Images/Product/BOT00441A/1.jpg,Black Grommet Hem Leggings,https://www.faballey.com/black-grommet-hem-leggings-117/prdt
BOT00267A,https://img.faballey.com/Images/Product/BOT00267A/1.jpg,Basic High Rise Jeggings - Black,https://www.faballey.com/basic-high-rise-jeggings-black-117/prdt
BOT00418A,https://img.faballey.com/Images/Product/BOT00418A/1.jpg,Grey Side Stripe Leggings,https://www.faballey.com/grey-side-stripe-leggings-117/prdt
BOT00466Z,https://img.faballey.com/Images/Product/BOT00466Z/1.jpg,Black Contrast Piping Wide Legged Pants,https://www.faballey.com/black-contrast-piping-wide-legged-pants-79/prdt
BOT00522Z,https://img.faballey.com/Images/Product/BOT00522Z/1.jpg,Wine Wide Legged Belted Pants ,https://www.faballey.com/wine-wide-legged-belted-pants-79/prdt
BOT00555Z,https://img.faballey.com/Images/Product/BOT00555Z/1.jpg,Wine Drawstring Jogger Pants,https://www.faballey.com/wine-drawstring-jogger-pants-79/prdt
BOT00445A,https://img.faballey.com/Images/Product/BOT00445A/1.jpg,Black Striped Gold Buttoned Leggings,https://www.faballey.com/black-striped-gold-buttoned-leggings-117/prdt
BOT00511A,https://img.faballey.com/Images/Product/BOT00511A/1.jpg,Navy Striped Jeggings ,https://www.faballey.com/navy-striped-jeggings-109/prdt
BOT00512A,https://img.faballey.com/Images/Product/BOT00512A/1.jpg,Black Leather Patch Jeggings ,https://www.faballey.com/black-leather-patch-jeggings-109/prdt
BOT00492Z,https://img.faballey.com/Images/Product/BOT00492Z/1.jpg,Navy Flared Trousers,https://www.faballey.com/navy-flared-trousers-79/prdt
BOT00559Z,https://img.faballey.com/Images/Product/BOT00559Z/1.jpg,Black Drawstring Jogger Pants,https://www.faballey.com/black-drawstring-jogger-pants-79/prdt
BOT00447A,https://img.faballey.com/Images/Product/BOT00447A/1.jpg,Black Front Zip Leggings,https://www.faballey.com/black-front-zip-leggings-117/prdt
